Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
11,Marseille,Montpellier,A,3,3.25,2.4,2.95,3.1,2.45,2.9,3.2,2.4,2.6,3,2.6,2.62,2.9,2.5,2.9,3.2,2.4
11,Auxerre,Paris SG,D,3.5,3.25,2.1,3.5,3.25,2.1,3.5,3.2,2.1,3.4,3.2,2,3.5,3,2,3.75,3.2,2.05
11,Lille,Ajaccio,H,1.3,5,11,1.28,5,11.5,1.28,5,11,1.35,4.5,7.3,1.25,4.5,10,1.285,5.2,10
11,Lorient,Montpellier,H,3.75,3.1,2.1,3.8,3.1,2.15,3.4,3.25,2.1,3.1,3.1,2.2,3,3,2.2,3.5,3.1,2.15
11,Nancy,Bordeaux,D,2.63,3,2.88,2.55,3,3.1,2.6,3,2.8,2.6,3,2.6,2.38,3,2.75,2.6,2.95,2.85
11,Sochaux,Dijon,H,1.95,3.3,4,2,3.25,3.8,2,3.2,3.75,2,3.1,3.5,1.91,3.2,3.5,2,3.25,3.75
11,St Etienne,Brest,H,1.75,3.2,5.5,1.75,3.3,5,1.72,3.4,5,1.75,3.3,4.5,1.67,3.3,4.5,1.75,3.3,5
11,Valenciennes,Evian Thonon Gaillard,A,2,3.1,4.2,1.95,3.25,4,2,3.2,3.75,2,3.1,3.5,1.91,3,3.75,2,3.1,4
11,Rennes,Nice,H,1.67,3.4,6,1.72,3.25,5.5,1.72,3.3,5.25,1.65,3.4,4.8,1.67,3.3,4.5,1.7,3.4,5.2
11,Marseille,Caen,D,1.7,3.5,5.25,1.65,3.6,5.5,1.7,3.4,5.25,1.75,3.4,4.3,1.62,3.5,4.5,1.666,3.6,5.2
11,Toulouse,Lyon,H,2.63,3,2.88,2.65,3.2,2.8,2.6,3,2.75,2.55,3,2.65,2.5,3,2.6,2.6,3.1,2.75
11,Bordeaux,Marseille,H,2.4,3.1,3.1,2.4,3.1,3.2,2.4,3.1,3,2.3,3.1,2.9,2.3,3,2.8,2.4,3.15,2.95
11,Brest,Rennes,A,3.1,3.1,2.38,3.2,3.1,2.4,3,3.1,2.4,2.6,3.1,2.6,2.7,2.88,2.5,2.85,3.1,2.5
11,Caen,St Etienne,A,2.6,3,2.88,2.6,3.1,2.75,2.6,3.1,2.75,2.4,3.15,2.75,2.5,3,2.6,2.55,3.1,2.8
11,Dijon,Lille,A,5,3.5,1.73,4.75,3.6,1.72,4.5,3.4,1.8,4.2,3.3,1.8,4,3.2,1.8,4.8,3.4,1.75
11,Evian Thonon Gaillard,Toulouse,H,2.5,3.1,2.9,2.55,3.1,2.85,2.6,3.1,2.75,2.5,3.15,2.65,2.5,3,2.6,2.55,3.1,2.8
11,Montpellier,Valenciennes,H,1.44,4.2,7.5,1.48,3.9,7.25,1.45,4.2,7,1.5,3.8,5.7,1.44,3.75,6,1.45,4.2,6.8
11,Nice,Auxerre,H,2,3.25,3.9,2.05,3.1,3.9,2.1,3.1,3.6,2.1,3.1,3.3,2,3,3.4,2.05,3.25,3.6
11,Ajaccio,Nancy,D,2.5,3,3,2.6,2.85,3,2.5,3.1,2.85,2.5,3.1,2.7,2.38,2.88,2.8,2.55,3,2.875
11,Lyon,Lorient,H,1.44,4.33,7,1.44,4.1,7.5,1.45,4.2,7,1.4,3.9,7.5,1.4,3.75,7,1.5,4,6.5
11,Paris SG,Sochaux,H,1.36,4.5,9.5,1.34,4.6,9.5,1.33,4.75,9,1.33,4.6,7.8,1.3,4.33,8,1.363,4.5,8.5
11,Lorient,Marseille,H,2.38,3.2,3,2.45,3.1,2.95,2.45,3.1,2.9,2.5,3.1,2.7,2.4,3,2.7,2.4,3.15,3
11,Toulouse,Montpellier,A,2.7,3.1,2.7,2.75,3.25,2.65,2.65,3.1,2.65,2.5,3.1,2.7,2.6,3,2.5,2.65,3.15,2.65
11,Auxerre,Brest,H,2.1,3.1,3.75,2.15,2.95,3.75,2.15,3.1,3.5,2,3.15,3.45,2.1,3,3.2,2.15,3.2,3.4
11,Lille,Paris SG,H,2.2,3.3,3.25,2.2,3.4,3.3,2.15,3.25,3.2,2.25,3.1,3,2.2,3,3,2.2,3.3,3.2
11,Nancy,Caen,D,2,3.3,3.75,2,3.2,3.9,2,3.2,3.75,2,3.15,3.45,2,3,3.4,2,3.25,3.75
11,Rennes,Ajaccio,H,1.5,4,7,1.53,3.9,6.25,1.5,3.8,6.75,1.5,3.8,5.7,1.5,3.5,6,1.5,4,6.5
11,Sochaux,Bordeaux,A,2.5,3.1,2.9,2.5,3.1,2.85,2.45,3.1,2.9,2.3,3.2,2.8,2.38,3,2.75,2.45,3.2,2.85
11,St Etienne,Dijon,H,1.62,3.6,6,1.65,3.6,5.5,1.67,3.5,5.25,1.6,3.5,5.2,1.62,3.5,4.5,1.7,3.6,4.8
11,Valenciennes,Nice,H,2,3.2,4,2,2.95,4.33,2,3.2,3.75,2,3,3.6,1.91,3,3.75,2,3.25,3.8
11,Montpellier,Evian Thonon Gaillard,D,1.36,4.33,9.5,1.4,4.33,8,1.38,4,10,1.45,3.9,6.5,1.44,3.6,6.5,1.4,4.333,8
11,Ajaccio,Sochaux,H,2.25,3.2,3.25,2.35,3.2,3,2.3,3.1,3.1,2.2,3.1,3.1,2.25,3,2.88,2.35,3.1,3.1
11,Bordeaux,Rennes,H,2.3,3.1,3.3,2.35,3.1,3.1,2.3,3,3.2,2.35,3.1,2.8,2.25,3,2.88,2.35,3.2,3
11,Brest,Toulouse,D,2.88,3,2.6,2.85,3,2.6,2.75,3,2.6,2.6,3.1,2.6,2.62,3,2.4,2.75,3.1,2.6
11,Caen,Lorient,H,2.3,3.1,3.25,2.25,3.2,3.2,2.3,3.2,3,2.4,2.8,3.1,2.25,3,2.88,2.35,3.1,3.1
11,Lyon,Valenciennes,H,1.53,3.75,7,1.55,3.9,6,1.53,3.75,6.5,1.55,3.7,5.4,1.5,3.6,5.5,1.55,3.8,6.25
11,Marseille,Nancy,H,1.73,3.5,5,1.75,3.5,4.75,1.75,3.4,4.75,1.85,3.25,4,1.73,3.2,4.33,1.75,3.5,4.75
11,Nice,Lille,A,4.75,3.3,1.8,4.1,3.5,1.85,4.2,3.3,1.85,3.8,3.4,1.85,3.75,3.25,1.8,4.2,3.4,1.85
11,Paris SG,St Etienne,H,1.67,3.6,5.25,1.65,3.8,5,1.67,3.6,5,1.65,3.5,4.6,1.62,3.5,4.5,1.65,3.75,5
11,Dijon,Auxerre,A,2.3,3.1,3.3,2.3,3.2,3.1,2.3,3,3.2,2.4,3.15,2.75,2.2,3.1,2.9,2.35,3.1,3.1
11,Evian Thonon Gaillard,Ajaccio,H,2,3.3,3.8,1.95,3.3,3.9,2,3.25,3.75,2,3.2,3.4,1.83,3.3,3.6,1.95,3.4,3.75
11,Lyon,Brest,D,1.4,4.33,8.5,1.42,4.4,7.25,1.4,4.5,7,1.35,4.5,7.3,1.33,4.33,7,1.363,4.5,8.5
11,Valenciennes,Paris SG,A,4.2,3.6,1.83,4.4,3.5,1.8,4,3.5,1.85,4.3,3.4,1.75,3.4,3.25,1.91,4.2,3.4,1.85
11,Auxerre,Bordeaux,A,2.4,3.2,3,2.5,3.2,2.8,2.45,3.2,2.8,2.25,3.2,2.9,2.38,3.2,2.6,2.4,3.1,3
11,Lille,Caen,H,1.33,4.75,10,1.3,5,10,1.33,4.75,9,1.27,5,9,1.29,4.5,8,1.3,5,10
11,Lorient,Dijon,D,1.83,3.4,4.5,1.88,3.4,4.1,1.85,3.3,4.25,1.85,3.25,4,1.8,3.4,3.6,1.85,3.4,4.2
11,Rennes,Montpellier,A,2.5,3,3,2.5,3.1,2.85,2.6,3.1,2.75,2.45,3.1,2.75,2.5,3.1,2.5,2.625,3.1,2.7
11,Sochaux,Nancy,H,2.2,3.2,3.4,2.05,3.3,3.6,2.2,3.2,3.2,2,3.15,3.45,2.1,3.2,3,2.2,3.2,3.25
11,St Etienne,Marseille,D,2.1,3.4,3.4,2.25,3.3,3.1,2.15,3.2,3.4,2,3.2,3.4,2,3.2,3.2,2.2,3.2,3.25
11,Toulouse,Nice,D,1.67,3.6,5.25,1.72,3.5,5,1.72,3.4,5,1.75,3.3,4.4,1.62,3.5,4.5,1.7,3.5,5
11,Evian Thonon Gaillard,Lyon,A,3.25,3.3,2.2,2.95,3.25,2.35,3.1,3.2,2.25,2.85,3.15,2.3,2.88,3,2.25,3.2,3.2,2.25
11,Ajaccio,Lyon,D,3.25,3.25,2.25,3.2,3.2,2.25,3.2,3.2,2.2,,,,3.5,3.2,1.91,3.4,3.3,2.1
11,Bordeaux,Lorient,H,1.73,3.5,5,1.72,3.5,5,1.75,3.5,4.5,1.7,3.4,4.5,1.8,3.2,4,1.75,3.5,4.75
11,Brest,Valenciennes,H,2.1,3.1,3.75,2.05,3.3,3.6,2.1,3.1,3.6,2.1,3.2,3.2,2.1,3,3.2,2.1,3.2,3.5
11,Caen,Sochaux,A,2.25,3.1,3.4,2.15,3.2,3.4,2.2,3.2,3.25,2.1,3.1,3.3,2.1,3.2,3,2.25,3.2,3.15
11,Dijon,Toulouse,D,2.55,3.1,2.88,2.6,3.1,2.75,2.6,3.1,2.75,2.4,3.2,2.7,2.5,3,2.6,2.55,3.15,2.75
11,Marseille,Auxerre,H,1.85,3.4,4.33,1.87,3.3,4.33,1.8,3.4,4.5,1.9,3.3,3.7,1.73,3.4,4,1.833,3.4,4.333
11,Montpellier,Lille,H,2.38,3.3,2.9,2.35,3.25,2.95,2.4,3.2,2.9,2.45,3.15,2.7,2.25,3.2,2.75,2.375,3.3,2.85
